user,%
0xc6daa92ae494acbe2bfaab57f60db8535bf2400f,0.01%
0x8660f85c9acdefd36b9fa962fbcc0792fad51ab3,0.01%
0x67bcd41adbf12d1ecffd86e17af2b14179b556a3,0.01%
0xad5eb14f1fb96936201f4d1304fbf11b5a69ccb6,0.01%
0xbb140caad2a312dcb2d1eaec02bb11b35816d39d,0.01%
0xdcd16f2015c3bde638ef5cac075176f90c5d8b01,0.01%
0x2184d88114f300050841b82d7c344049278d5d82,0.01%
0x0000000000000000000000000000000000000002,0.01%
0x1b5bd4ed671c2e0ae70d3971b5a73dc51bdddb0b,0.01%
0xcf7c0ef21bdbce30f5736c07842ddc5d57e1bad8,0.01%
0x4b7292679d439ccd83b972a5ff848b47391affca,0.01%
0x9cb21ce0ff81e55db73bbb36d5a9eac9d50a938b,0.01%
0x6b6aa362c78181e8ec0ae1507ec776e4650f7991,0.01%
0x1459561255fe299e7b120058b93586f976b358b0,0.01%
0x0384995500feb58a97b1ee44e62d5db3ac0f0854,0.01%
0x2daa13cb8ba6b13c64c9acb9e7ae1d5da40e9772,0.01%
0xf5e42be548200905f7f9d12b83917e616e669f6b,0.01%
0x566e7d07281aae7e60e689ec58b958cfa9e0b193,0.01%
0xd17202858ef98bea324d037caf401882c72c5b3b,0.01%
0x6e617411f8fddd51a34e0eb80cb17a88e6f1f17a,0.01%
0x2d6de058c649b2e546ef622c6ac577b0bb021235,0.01%
0xf3b059c887172f2cc52b5e77ee3b2c8b3a32e6ef,0.01%
0x55b6ed4b098b9f60b89e9fc97bc424f4678ebaa7,0.01%
0xe203d26c1b8106c483c1438e9ce63074a0aaea92,0.01%
0x770569f85346b971114e11e4bb5f7ac776673469,0.01%
0xdffd8bbf8dcaf236c4e009ff6013bfc98407b6c0,0.01%
0x2860ce83720bab73b28e0179f64f2eaf810fd995,0.01%
0x8c729636c0f90ac39de831cd1368357d43a90c2d,0.01%
0x0567d67105ae13d00b60a991e57b9cc83f05c083,0.01%
0xa9c3eb1b8250daddf039a010b67a089d8384f648,0.01%
0xa112bcbdf203a02a97bee3b9957e041806311d23,0.01%
0x556b378862d03ef19b7feed38b9af1552f6d2870,0.01%
0x1f1345248892697f730f211d7fb73759ed3a7628,0.01%
0x4c9f7207be28278b9dca129f2e211acfff48fb01,0.01%
0xd08f177f6fe96b5d863a5e45027eafb041bc4b55,0.01%
0x5102009e110466f69c1e82d0c64ef969339648d4,0.01%
0x69424abb86a038fd66d4a1d1c69b881adaa15780,0.01%
0xb85df9ffd743847d287060042d916dfaa225e119,0.01%
0x81f89a3878638f497598d79c42f7f4935d0c6a61,0.01%
0x07dcc966db0ed3b4461db91eab4b8f89c4493fea,0.01%
0x370880694995aa8a53f71645f7bec3b0e7bb25d9,0.01%
0xd478897fe87f6699ecc4e13c084f52521ba3d61f,0.01%
0xa9f078b3b6dd6c04308f19def394b6d5a1b8b732,0.01%
0xccb1e7a7e4b56cfcd08125ffd8458fabf1509b59,0.01%
0x93006877903fe83d8179da661e72e4f9db23eb66,0.01%
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,0.01%
0xf08e024b796ea34418ed786947f8e5dd188f2d3f,0.01%
0x44ef30af09e2a230446fa10b683f9ebd73b11d69,0.01%
0x3634df8653dd373bce705a7b61faeb7682591abd,0.01%
0x521448fd2b002c31a97d56f3a275238de0976cd0,0.01%
0x8f18c4e799c250e3d7946409ae17838faac0b0f9,0.01%
0xf0fcb5b2ec2d511c4338f59528baafdaa1f3ff37,0.01%
0x5920ca4a51d93052f111e90c387f70bcf723ea3f,0.01%
0xc4213ffb2c152fd9687bbdb97b8f49a307ad9a47,0.01%
0xbe7019f8333b0b3cfc707ac353ebc2123140134c,0.01%
0xe5af6db1c7eec2916d02e6e76e991ef2e50d52ec,0.01%
0x82a5b27431b0c09f6753170a50c53bb88c9fbc98,0.01%
0x637bb85f830cfae4b5f1ae83919cca896c1fb6cc,0.01%
