Address,Percentage
0x604c4365ec2f35f01df0470cc1d92248d6186a5b,0.0481236%
0x70ea854f08212a2890d8f5956ddd8fb5edb70df1,0.0480233%
0x2170dc4e8dfa9c5b25a90c1cefece9948a76e067,0.0479424%
0x4e48faf5012c3ecdb39125853fe4449d018fee8e,0.0475760%
0x32c8d674e5012e2c2f1fcd82ec650635d137c5c6,0.0475728%
0x42b39b6a479159749ab9b5c6681db69d41b12a52,0.0464809%
0xb70a6582aaf7af2f20cf5837e58febf7e21aaf89,0.0461275%
0x9b9019d7faf9857d9643e65a15327a755042884b,0.0457852%
0xb68107a544c23f3630d5c5283667be94c5ddc4ed,0.0456038%
0x759782546292f0413192609f8c0ae585d67622b0,0.0445352%
0xe0f41ffde55ef31343ff2a43361a915a92dc813b,0.0444923%
0xac1b80e06f970879bfb8f2b92b59442593f332b6,0.0444636%
0xad87fcd3ffa17ed075e153a082d420ebd4ee5ee7,0.0438654%
0x598f2ff6be73ffcf8f18e244f5fbe1bbfb0a4349,0.0438310%
0x84838a8c45a9572846ec1c7a7f7fd8183fca9d3f,0.0434973%
0x40bd45c839f81a569420af4a900dddea1e8e7384,0.0431634%
0xf0f5c1a44071c463329f8dd5434cdd4e60bb6c9c,0.0421575%
0xe2414c1a42924d7b7100a80fe4ba16ac10fe8c3b,0.0421399%
0x1b5b7b514771beec3c83add7e0165166dbc77320,0.0418912%
0x19d4a80b8e47129e16b3895e48818b82cbddae69,0.0413156%
0x57274f9ef21e4247cdeee19f70c2388274225d87,0.0409796%
0x014467cc3f40ef555a27651e860bd92f92d69125,0.0409445%
0x533586052188f5b5bdc1e1d909b6e71d32d63f96,0.0408688%
0xcd18c513336ae20416a400cbe900873f56efc32f,0.0408007%
0xb15aeaff49fa4223fc337d9c3d393e1248eb0c79,0.0407757%
0x447355a66ab1450274a246f9d10fd00bf32ab6c4,0.0407245%
0xd7519fed43082f290c272b6695ad7a315d9e1459,0.0407011%
0x62a7b19150b24e1cc03fc8f5224438fea3eeace0,0.0406450%
0x73965544757dc42e7ed90ec8b820d284985e2a8d,0.0404215%
0xeb0cf93f04a951cd021e9d05edcddc6638809be9,0.0395497%
0xeab79b4c07398c97209716284f455c9a0f8de32c,0.0393688%
0x7a685c2bf6e8488b24ffd597c3906be4d81fcba9,0.0392301%
0x7a2c1790969badd22d8fd9817acdaa9ac6064148,0.0389098%
0x9432c92718b8f2e53fd82117b385a3348b44effb,0.0382863%
0x3dcc3837f4961c2794c3fcae9f2f0d112672d39a,0.0381893%
0x2963cfda3d9a6b26e5a0c5e3d0962336ab5f31f0,0.0380207%
0xe513eb189f62e189be05665a6ec7008887e6b9d6,0.0380082%
0x99dc0ed75a428ad66142e53f8202ab84b1131220,0.0379637%
0xecb50f1f8098f3d62fb5d8a1fe0fe8b5def621fa,0.0379501%
0xe71f5c1bf0b83d41b364423c950f26f7b848a259,0.0377664%
0xa91c2ceb9d2e343bfd5a12d5b3b3794346a8c473,0.0375660%
0x7b4609f304e46b2f0a2fc372c8eb930505d3685a,0.0372666%
0x912bedf47a09bad1e7963bfc686ba6b328a7eaee,0.0366965%
0x81f5742343963c5c0b2d707eebf1ecf9590b62d7,0.0362797%
0x88aa79a67ae784dbe28e1ca6b9a8a6bf78296fb6,0.0360757%
0xf3402a3e08bdac25df1a653940ab1147a39c248d,0.0360260%
0x6a94e01de9e407912fd093394f5bdcc3de7982fb,0.0359605%
0xf1cd89e68960ec109b56a046fa668e2039611b02,0.0356517%
0x373a637158c732b5d1b5069f81a1f3aa37801e8c,0.0355538%
0x46a004cf8359dc6695eda1ca0cba4200e72e5c95,0.0354304%
0x33a924165e1f2be5142fd19d1b2f091cb23bfd3f,0.0352398%
0xc68d20c09c918531389351828d45936d925e0403,0.0347866%
0xc229d7d3dd662a1b107e29aa84bb0c8ff609cf3a,0.0343633%
0xf3a41cf78a19b9c45e0c413d08867ce12c92fa11,0.0343496%
0x8b2898ac45c52ba314c0b81ec98878ebf690fcfb,0.0340355%
0x9ee467f85c7c4d78e95f31c94b0fb6419aedca48,0.0339118%
0x5dea5acd52b83385c4802a1d2f8b0fa1e2433de9,0.0335761%
0xf26911d7d2d94099b1bdc72a14261eda26ff2057,0.0334932%
